B1_004,B2_006,B3_008,F_020,L1_002,M_B1,M_B2,B1_003,B2_005,L1_001,M_L1,F_019,M_F
8.720504,8.939576,9.052045,8.976047,9.219891,5.6269135,5.86806,2.533323,2.796544,2.566894,5.8933925,2.814587,5.895317
9.883237,10.09307,10.258985,10.134247,10.409554,6.4584495,6.689739,3.033662,3.286408,3.053194,6.731374,3.307612,6.7209295
10.755288,10.95819,11.164189,11.002896,11.301802,7.1446445,7.3672315,3.534001,3.776273,3.539494,7.420648,3.800637,7.4017665
10.755288,10.95819,11.164189,11.002896,11.301802,7.770068,7.979562,4.784848,5.000934,4.755245,8.0285235,5.0332,8.018048
12.499389,12.688431,12.974598,12.740195,13.086297,9.142457,9.334547,5.785525,5.980663,5.727846,9.4070715,6.019251,9.379723
13.662123,13.841924,14.181537,13.898395,14.275961,10.4743325,10.6460905,7.286542,7.450257,7.186747,10.731354,7.498326,10.6983605
13.952806,14.130298,14.483272,14.187945,14.573377,10.994928,11.1576755,8.03705,8.185053,7.916198,11.2447875,8.237864,11.2129045
13.662123,13.841924,14.181537,13.898395,14.275961,10.8495865,11.0134885,8.03705,8.185053,7.916198,11.0960795,8.237864,11.0681295
13.952806,14.130298,14.483272,14.187945,14.573377,11.2450975,11.402608,8.537389,8.674918,8.402498,11.4879375,8.730889,11.459417
14.24349,14.418671,14.785007,14.477494,14.870793,11.3904395,11.5467945,8.537389,8.674918,8.402498,11.6366455,8.730889,11.6041915
13.662123,13.841924,14.181537,13.898395,14.275961,11.099756,11.258421,8.537389,8.674918,8.402498,11.3392295,8.730889,11.314642
13.662123,13.841924,14.181537,13.898395,14.275961,10.9746715,11.135955,8.28722,8.429986,8.159348,11.2176545,8.484377,11.191386
13.371439,13.553551,13.879803,13.608845,13.978545,10.954414,11.1142345,8.537389,8.674918,8.402498,11.1905215,8.730889,11.169867
13.371439,13.553551,13.879803,13.608845,13.978545,11.079499,11.2367005,8.787559,8.91985,8.645648,11.3120965,8.977402,11.2931235
13.080756,13.265178,13.578068,13.319295,13.681129,10.683988,10.847582,8.28722,8.429986,8.159348,10.9202385,8.484377,10.901836
13.080756,13.265178,13.578068,13.319295,13.681129,10.683988,10.847582,8.28722,8.429986,8.159348,10.9202385,8.484377,10.901836
12.790072,12.976804,13.276333,13.029745,13.383713,10.2884765,10.4584625,7.786881,7.940121,7.673047,10.52838,7.991352,10.5105485
12.790072,12.976804,13.276333,13.029745,13.383713,10.413561,10.5809285,8.03705,8.185053,7.916198,10.6499555,8.237864,10.6338045
12.499389,12.688431,12.974598,12.740195,13.086297,10.143135,10.314276,7.786881,7.940121,7.673047,10.379672,7.991352,10.3657735
13.080756,13.265178,13.578068,13.319295,13.681129,10.683988,10.847582,8.28722,8.429986,8.159348,10.9202385,8.484377,10.901836
13.371439,13.553551,13.879803,13.608845,13.978545,10.7042445,10.869302,8.03705,8.185053,7.916198,10.9473715,8.237864,10.9233545
13.371439,13.553551,13.879803,13.608845,13.978545,11.079499,11.2367005,8.787559,8.91985,8.645648,11.3120965,8.977402,11.2931235
12.790072,12.976804,13.276333,13.029745,13.383713,10.413561,10.5809285,8.03705,8.185053,7.916198,10.6499555,8.237864,10.6338045
13.080756,13.265178,13.578068,13.319295,13.681129,10.558903,10.7251155,8.03705,8.185053,7.916198,10.7986635,8.237864,10.7785795
14.24349,14.418671,14.785007,14.477494,14.870793,11.3904395,11.5467945,8.537389,8.674918,8.402498,11.6366455,8.730889,11.6041915
14.824857,14.995418,15.388477,15.056594,15.465624,12.181462,12.3250325,9.538067,9.654647,9.375099,12.4203615,9.71694,12.386767
15.406224,15.572165,15.991946,15.635694,16.060456,12.4721455,12.613406,9.538067,9.654647,9.375099,12.7177775,9.71694,12.676317
15.406224,15.572165,15.991946,15.635694,16.060456,12.4721455,12.613406,9.538067,9.654647,9.375099,12.7177775,9.71694,12.676317
15.115541,15.283791,15.690211,15.346144,15.76304,12.451889,12.591685,9.788237,9.899579,9.618249,12.6906445,9.963453,12.6547985
14.824857,14.995418,15.388477,15.056594,15.465625,12.0563775,12.2025665,9.287898,9.409715,9.131949,12.298787,9.470428,12.263511
14.534174,14.707045,15.086742,14.767044,15.168209,11.911036,12.05838,9.287898,9.409715,9.131949,12.150079,9.470428,12.118736
14.534174,14.707045,15.086742,14.767044,15.168209,11.911036,12.05838,9.287898,9.409715,9.131949,12.150079,9.470428,12.118736
14.534174,14.707045,15.086742,14.767044,15.168209,11.785951,11.9359135,9.037728,9.164782,8.888799,12.028504,9.223915,11.9954795
15.115541,15.283791,15.690211,15.346144,15.76304,12.326804,12.469219,9.538067,9.654647,9.375099,12.5690695,9.71694,12.531542
15.406224,15.572165,15.991946,15.635694,16.060456,12.4721455,12.613406,9.538067,9.654647,9.375099,12.7177775,9.71694,12.676317
15.115541,15.283791,15.690211,15.346144,15.76304,12.451889,12.591685,9.788237,9.899579,9.618249,12.6906445,9.963453,12.6547985
15.406224,15.572165,15.991946,15.635694,16.060456,12.4721455,12.613406,9.538067,9.654647,9.375099,12.7177775,9.71694,12.676317
16.859642,17.014032,17.50062,17.083443,17.547536,13.6991935,13.824204,10.538745,10.634376,10.3477,13.947618,10.702991,13.893217
17.441008,17.590779,18.10409,17.662543,18.142368,14.3651305,14.479976,11.289253,11.369173,11.07715,14.609759,11.442529,14.552536
18.313059,18.455899,19.009295,18.531193,19.034615,14.801156,14.912536,11.289253,11.369173,11.07715,15.0558825,11.442529,14.986861
18.603742,18.744272,19.31103,18.820743,19.332031,15.196667,15.3016545,11.789592,11.859037,11.56345,15.4477405,11.935554,15.3781485
18.603742,18.744272,19.31103,18.820743,19.332031,15.571921,15.669053,12.5401,12.593834,12.292901,15.812466,12.675092,15.7479175
18.894426,19.032646,19.612764,19.110293,19.629447,15.842348,15.935706,12.79027,12.838766,12.536051,16.082749,12.921604,16.0159485
17.441008,17.590779,18.10409,17.662543,18.142368,14.8654695,14.9698405,12.289931,12.348902,12.049751,15.0960595,12.428579,15.045561
17.150325,17.302405,17.802355,17.372993,17.844952,14.344874,14.458255,11.539423,11.614105,11.3203,14.582626,11.689041,14.531017
17.150325,17.302405,17.802355,17.372993,17.844952,14.595043,14.703187,12.039761,12.103969,11.806601,14.8257765,12.182066,14.7775295
16.568958,16.725658,17.198886,16.793893,17.25012,13.804021,13.924949,11.039084,11.12424,10.834,14.04206,11.196016,13.9949545
17.150325,17.302405,17.802355,17.372993,17.844952,14.219789,14.335789,11.289253,11.369173,11.07715,14.461051,11.442529,14.407761
17.150325,17.302405,17.802355,17.372993,17.844952,14.219789,14.335789,11.289253,11.369173,11.07715,14.461051,11.442529,14.407761
17.441008,17.590779,18.10409,17.662543,18.142368,14.4902155,14.602442,11.539423,11.614105,11.3203,14.731334,11.689041,14.675792
17.731692,17.879152,18.405825,17.952093,18.439784,14.760642,14.8690945,11.789592,11.859037,11.56345,15.001617,11.935554,14.9438235
18.313059,18.455899,19.009295,18.531193,19.034615,15.0513255,15.157468,11.789592,11.859037,11.56345,15.2990325,11.935554,15.2333735
19.185109,19.321019,19.914499,19.399843,19.926863,15.8626045,15.9574265,12.5401,12.593834,12.292901,16.109882,12.675092,16.0374675
18.894426,19.032646,19.612764,19.110293,19.629447,15.717263,15.81324,12.5401,12.593834,12.292901,15.961174,12.675092,15.8926925
18.894426,19.032646,19.612764,19.110293,19.629447,15.717263,15.81324,12.5401,12.593834,12.292901,15.961174,12.675092,15.8926925
19.185109,19.321019,19.914499,19.399843,19.926863,15.8626045,15.9574265,12.5401,12.593834,12.292901,16.109882,12.675092,16.0374675
19.475793,19.609392,20.216234,19.689392,20.224279,16.258116,16.346545,13.040439,13.083698,12.779201,16.50174,13.168117,16.4287545
19.766476,19.897766,20.517969,19.978942,20.521695,16.4034575,16.490732,13.040439,13.083698,12.779201,16.650448,13.168117,16.5735295
19.766476,19.897766,22.367814,19.978942,20.521695,16.4034575,16.490732,13.040439,13.083698,12.779201,16.650448,13.168117,16.5735295
19.766476,19.897766,22.367814,19.978942,20.521695,15.778034,15.8784015,11.789592,11.859037,11.56345,16.0425725,11.935554,15.957248
19.766476,19.897766,22.367814,19.978942,20.521695,15.6529495,15.755935,11.539423,11.614104,11.3203,15.9209975,11.689041,15.8339915
19.766476,19.897766,22.367814,19.978942,22.331503,15.6529495,16.7233115,11.539423,13.548857,13.136325,17.733914,12.893589,16.4362655
18.894426,19.032645,21.462609,19.110293,21.439256,15.09184,16.168285,11.289254,13.303925,12.893175,17.1662155,12.647077,15.878685
18.603743,18.744272,21.160874,18.820743,21.14184,14.696329,15.779166,10.788915,12.81406,12.406874,16.774357,12.154051,15.487397
19.475793,19.609392,22.066079,19.689392,22.034088,15.132354,16.211726,10.788915,12.81406,12.406874,17.220481,12.154051,15.9217215
19.766476,19.897766,22.367814,19.978942,22.331503,15.2776955,16.355913,10.788915,12.81406,12.406874,17.3691885,12.154051,16.0664965
20.638527,20.762886,23.273018,20.847592,23.223751,15.9638905,17.0334055,11.289254,13.303925,12.893175,18.058463,12.647077,16.7473345
21.219894,21.339633,23.876488,21.426692,23.818583,16.629828,17.6891775,12.039762,14.038722,13.622625,18.720604,13.386614,17.406653
20.92921,21.051259,23.574753,21.137142,23.521167,16.484486,17.5449905,12.039762,14.038722,13.622625,18.571896,13.386614,17.261878
20.638527,20.762886,23.273018,20.847592,23.223751,16.3391445,17.400804,12.039762,14.038722,13.622625,18.423188,13.386614,17.117103
20.05716,20.186139,22.669549,20.268492,22.628919,16.048461,17.1124305,12.039762,14.038722,13.622625,18.125772,13.386614,16.827553
19.18511,19.321019,21.764344,19.399843,21.736672,15.3622665,16.434938,11.539423,13.548857,13.136325,17.4364985,12.893589,16.146716
18.894426,19.032645,21.462609,19.110293,21.439256,14.966755,16.045819,11.039084,13.058993,12.650024,17.04464,12.400564,15.7554285
18.894426,19.032645,21.462609,19.110293,21.439256,15.09184,16.168285,11.289254,13.303925,12.893175,17.1662155,12.647077,15.878685
18.894426,19.032645,21.462609,19.110293,21.439256,14.8416705,15.9233525,10.788915,12.81406,12.406874,16.923065,12.154051,15.632172
18.022376,18.167525,20.557405,18.241643,20.547008,14.4056455,15.4907925,10.788915,12.81406,12.406874,16.476941,12.154051,15.197847
17.441009,17.590778,19.953935,17.662543,19.952176,13.8647925,14.957487,10.288576,12.324196,11.920574,15.936375,11.661026,14.6617845
17.441009,17.590778,19.953935,17.662543,19.952176,13.614623,14.7125545,9.788237,11.834331,11.434273,15.6932245,11.168001,14.415272
16.568958,16.725658,19.048731,16.793893,19.059929,13.053513,14.1575285,9.538068,11.589399,11.191123,15.125526,10.921488,13.8576905
17.150325,17.302405,19.6522,17.372993,19.65476,13.469281,14.568368,9.788237,11.834331,11.434273,15.5445165,11.168001,14.270497
16.859642,17.014032,19.350465,17.083443,19.357345,13.3239395,14.4241815,9.788237,11.834331,11.434273,15.395809,11.168001,14.125722
15.987592,16.148911,18.445261,16.214794,18.465097,12.5126605,13.624223,9.037729,11.099535,10.704823,14.58496,10.428463,13.3216285
15.406225,15.572165,17.841791,15.635694,17.870265,12.221977,13.33585,9.037729,11.099535,10.704823,14.287544,10.428463,13.0320785
14.824858,14.995418,17.238321,15.056594,17.275433,11.5560395,12.680078,8.287221,10.364738,9.975372,13.6254025,9.688925,12.3727595
15.987592,16.148911,18.445261,16.214794,18.465097,12.3875755,13.5017565,8.787559,10.854602,10.461673,14.463385,10.18195,13.198372
15.696908,15.860538,18.143526,15.925244,18.167681,12.2422335,13.35757,8.787559,10.854602,10.461673,14.314677,10.18195,13.053597
16.278275,16.437285,18.746996,16.504344,18.762513,12.658002,13.76841,9.037729,11.099535,10.704823,14.733668,10.428463,13.4664035
15.987592,16.148911,18.445261,16.214794,18.465097,12.5126605,13.624223,9.037729,11.099535,10.704823,14.58496,10.428463,13.3216285
15.987592,16.148911,18.445261,16.214794,18.465097,12.5126605,13.624223,9.037729,11.099535,10.704823,14.58496,10.428463,13.3216285
15.987592,16.148911,18.445261,16.214794,18.465097,12.5126605,13.624223,9.037729,11.099535,10.704823,14.58496,10.428463,13.3216285
15.406225,15.572164,17.841791,15.635694,17.870265,11.9718075,13.0909175,8.53739,10.609671,10.218522,14.0443935,9.935438,12.785566
15.987592,16.148911,18.445261,16.214794,18.465097,12.3875755,13.501757,8.787559,10.854603,10.461673,14.463385,10.18195,13.198372
15.987592,16.148911,18.445261,16.214794,18.465097,12.5126605,13.624223,9.037729,11.099535,10.704823,14.58496,10.428463,13.3216285
15.987592,16.148911,18.445261,16.214794,18.465097,12.3875755,13.501757,8.787559,10.854603,10.461673,14.463385,10.18195,13.198372
16.278276,16.437284,18.746996,16.504344,18.762513,12.783087,13.890876,9.287898,11.344468,10.947973,14.855243,10.674976,13.58966
17.731693,17.879151,20.25567,17.952093,20.249593,13.759965,14.8567415,9.788237,11.834332,11.434273,15.841933,11.168001,14.560047
17.44101,17.590778,19.953935,17.662543,19.952177,13.489539,14.590089,9.538068,11.5894,11.191123,15.57165,10.921488,14.2920155
16.859643,17.014031,19.350466,17.083444,19.357345,13.32394,14.4241815,9.788237,11.834332,11.434273,15.395809,11.168001,14.1257225
16.278276,16.437284,18.746996,16.504344,18.762513,12.908172,14.013342,9.538068,11.5894,11.191123,14.976818,10.921488,13.712916
15.406225,15.572164,17.841791,15.635694,17.870265,11.9718075,13.0909175,8.53739,10.609671,10.218522,14.0443935,9.935438,12.785566
14.824858,14.995417,17.238322,15.056594,17.275434,11.681124,12.802544,8.53739,10.609671,10.218522,13.746978,9.935438,12.496016
14.534175,14.707044,16.936587,14.767044,16.978018,11.1605285,12.290959,7.786882,9.874874,9.489072,13.233545,9.1959,11.981472
14.534175,14.707044,16.936587,14.767044,16.978018,11.4106975,12.5358915,8.28722,10.364739,9.975372,13.476695,9.688925,12.2279845
14.824858,14.995417,17.238322,15.056594,17.275434,11.30587,12.4351455,7.786882,9.874874,9.489072,13.382253,9.1959,12.126247
13.662125,13.841923,16.031382,13.898395,16.08577,10.5994185,11.7359325,7.536712,9.629942,9.245922,12.665846,8.949387,11.423891
12.499391,12.68843,14.824443,12.740195,14.896106,9.5177125,10.6693215,6.536034,8.650213,8.273321,11.5847135,7.963337,10.351766
11.627341,11.82331,13.919239,11.871545,14.003859,8.956603,10.1142955,6.285865,8.405281,8.030171,11.017015,7.716824,9.7941845
11.336657,11.534936,13.617504,11.581995,13.706443,8.5610915,9.725176,5.785526,7.915416,7.54387,10.6251565,7.223799,9.402897
11.336657,11.534936,13.617504,11.581995,13.706443,8.310922,9.480244,5.285187,7.425552,7.05757,10.3820065,6.730774,9.1563845
10.75529,10.958189,13.014034,11.002896,13.111611,8.0202385,9.1918705,5.285187,7.425552,7.05757,10.0845905,6.730774,8.866835
9.592556,9.804696,11.807095,9.844696,11.921947,7.188702,8.3701915,4.784848,6.935687,6.57127,9.2466085,6.237749,8.0412225
10.464607,10.669816,12.712299,10.713346,12.814195,7.499643,8.6802855,4.534679,6.690755,6.32812,9.5711575,5.991236,8.352291
11.045974,11.246563,13.315769,11.292446,13.409027,7.915411,9.091125,4.784848,6.935687,6.57127,9.9901485,6.237749,8.7650975
11.627341,11.82331,13.919239,11.871545,14.003859,8.456264,9.624431,5.285187,7.425552,7.05757,10.5307145,6.730774,9.3011595
11.918024,12.111683,14.220973,12.161095,14.301275,8.851775,10.0135495,5.785526,7.915416,7.54387,10.9225725,7.223799,9.692447
11.045974,11.246563,13.315769,11.292446,13.409027,8.2906655,9.4585235,5.535357,7.670484,7.30072,10.3548735,6.977286,9.134866
9.88324,10.093069,12.108829,10.134246,12.219363,7.334044,8.514378,4.784848,6.935687,6.57127,9.3953165,6.237749,8.1859975
8.429823,8.651202,10.600155,8.686496,10.732284,6.357166,7.5485125,4.284509,6.445823,6.084969,8.4086265,5.744723,7.2156095
8.429823,8.651202,10.600155,8.686496,10.732284,5.7317425,6.9361815,3.033662,5.221161,4.869218,7.800751,4.51216,6.599328
8.429823,8.651202,10.600155,8.686496,10.732284,5.7317425,6.9361815,3.033662,5.221161,4.869218,7.800751,4.51216,6.599328
7.267089,7.497708,9.393216,7.528297,9.54262,5.1503755,6.3594345,3.033662,5.221161,4.869218,7.205919,4.51216,6.0202285
6.395039,6.632588,8.488012,6.659647,8.650372,4.339096,5.559476,2.283153,4.486364,4.139767,6.3950695,3.772622,5.2161345
6.685722,6.920961,8.789746,6.949197,8.947788,4.4844375,5.7036625,2.283153,4.486364,4.139767,6.5437775,3.772622,5.3609095
6.395039,6.632588,8.488012,6.659647,8.650372,3.963842,5.192078,1.532645,3.751568,3.410317,6.0303445,3.033084,4.8463655
6.395039,6.632588,8.488012,6.659647,8.650372,4.0889265,5.314544,1.782814,3.9965,3.653467,6.1519195,3.279597,4.969622
5.522988,5.767468,7.582807,5.790997,7.758125,3.5278165,4.759518,1.532645,3.751568,3.410317,5.584221,3.033084,4.4120405
5.522988,5.767468,7.582807,5.790997,7.758125,3.402732,4.6370515,1.282476,3.506635,3.167166,5.4626455,2.786572,4.2887845
4.650938,4.902347,6.677603,4.922348,6.865877,2.341283,3.5921605,0.031628,2.281974,1.951416,4.4086465,1.554009,3.2381785
4.941622,5.190721,6.979337,5.211898,7.163293,2.61171,3.8588135,0.281798,2.526906,2.194566,4.6789295,1.800521,3.5062095
4.941622,5.190721,6.979337,5.211898,7.163293,2.61171,3.8588135,0.281798,2.526906,2.194566,4.6789295,1.800521,3.5062095
4.650938,4.902347,6.677603,4.922348,6.865877,2.5914525,3.837093,0.531967,2.771839,2.437716,4.6517965,2.047034,3.484691
3.778888,4.037227,5.772398,4.053698,5.973629,1.905258,3.1596005,0.031628,2.281974,1.951416,3.9625225,1.554009,2.8038535
2.906837,3.172107,4.867193,3.185048,5.081382,1.2190635,2.4821085,-0.46871,1.79211,1.465115,3.2732485,1.060983,2.1230155
2.616154,2.883734,4.565459,2.895498,4.783966,0.6984675,1.9705235,-1.219219,1.057313,0.735665,2.7598155,0.321446,1.608472
2.616154,2.883734,4.565459,2.895498,4.783966,0.448298,1.725591,-1.719558,0.567448,0.249364,2.516665,-0.17158,1.361959
2.906837,3.172107,4.867193,3.185048,5.081382,0.5936395,1.8697775,-1.719558,0.567448,0.249364,2.665373,-0.17158,1.506734
2.906837,3.172107,4.867193,3.185048,5.081382,0.7187245,1.992244,-1.469388,0.812381,0.492515,2.7869485,0.074933,1.6299905
2.906837,3.172107,4.867193,3.185048,5.081382,0.5936395,1.8697775,-1.719558,0.567448,0.249364,2.665373,-0.17158,1.506734
2.034787,2.306987,3.961989,2.316399,4.189134,0.1576145,1.4372175,-1.719558,0.567448,0.249364,2.219249,-0.17158,1.0724095
1.45342,1.73024,3.358519,1.737299,3.594302,-0.383238,0.903912,-2.219896,0.077584,-0.236936,1.678683,-0.664605,0.536347
2.034787,2.306987,3.961989,2.316399,4.189134,-0.0925545,1.1922855,-2.219896,0.077584,-0.236936,1.976099,-0.664605,0.825897
2.32547,2.59536,4.263724,2.605948,4.48655,-0.072298,1.214006,-2.470066,-0.167348,-0.480086,2.003232,-0.911118,0.847415
1.744104,2.018613,3.660254,2.026849,3.891718,0.2624425,1.537963,-1.219219,1.057313,0.735665,2.3136915,0.321446,1.1741475
0.872053,1.153493,2.75505,1.158199,2.99947,-0.6739215,0.6155385,-2.219896,0.077584,-0.236936,1.381267,-0.664605,0.246797
0.58137,0.86512,2.453315,0.868649,2.702054,-1.1945175,0.1039535,-2.970405,-0.657213,-0.966387,0.8678335,-1.404143,-0.267747
0.290686,0.576746,2.15158,0.579099,2.404639,-1.2147745,0.0822325,-2.720235,-0.412281,-0.723236,0.8407015,-1.15763,-0.2892655
-0.872047,-0.576747,0.944641,-0.5791,1.214975,-2.5466495,-1.2293105,-4.221252,-1.881874,-2.182137,-0.483581,-2.636706,-1.607903
-1.744098,-1.441867,0.039437,-1.447749,0.322727,-2.982675,-1.6618705,-4.221252,-1.881874,-2.182137,-0.929705,-2.636706,-2.0422275
-2.325465,-2.018614,-0.564033,-2.026849,-0.272104,-3.523528,-2.195176,-4.721591,-2.371738,-2.668438,-1.470271,-3.129731,-2.57829
-3.488198,-3.172107,-1.770972,-3.185049,-1.461768,-4.480149,-3.139321,-5.4721,-3.106535,-3.397888,-2.429828,-3.869269,-3.527159
